Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Strawberry Shortcake: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,,0.11,0.04,0.0,0.0,0.15,,,,,,
eJay Clubworld,PS2,,Misc,Empire Interactive,0.07,0.06,0.0,0.02,0.15,69.0,5.0,8.6,10.0,UDS,E
All-Star Baseball 2005,XB,,Sports,,0.11,0.03,0.0,0.01,0.15,75.0,31.0,8.8,12.0,Acclaim,E
Black * Rock Shooter: The Game,PSP,2011.0,Role-Playing,,0.0,0.0,0.15,0.0,0.15,66.0,19.0,7.2,39.0,"Image Epoch, Imageepoch",T
Terraria,PC,2011.0,Action,,0.0,0.13,0.0,0.01,0.14,83.0,29.0,8.5,1613.0,Re-Logic,T
Bejeweled 3,PS3,,Puzzle,,0.13,0.0,0.0,0.02,0.14,76.0,5.0,8.2,5.0,PopCap,E
Kid Adventures: Sky Captain,Wii,2010.0,Action,,0.09,0.04,0.0,0.01,0.14,,,tbd,,Torus Games,E
Our House Party!,Wii,,Simulation,,0.13,0.0,0.0,0.01,0.14,,,,,,
Power Gig: Rise of the SixString,PS3,2010.0,Misc,,0.13,0.0,0.0,0.01,0.14,36.0,10.0,0.5,4.0,Seven45 Studios,T
WCW Backstage Assault,N64,,Action,,0.11,0.03,0.0,0.0,0.14,,,,,,
Barbie Explorer,PS,2001.0,Platform,,0.08,0.05,0.0,0.01,0.14,,,,,,
Bejeweled 3,X360,,Puzzle,,0.13,0.0,0.0,0.01,0.14,78.0,13.0,8.4,11.0,PopCap,E
Disney's Cinderella: Magical Dreams,GBA,,Platform,Disney Interactive Studios,0.1,0.04,0.0,0.0,0.14,69.0,7.0,tbd,,Culture Brain,E
Transworld Surf,XB,,Sports,Atari,0.1,0.03,0.0,0.0,0.13,76.0,25.0,tbd,,Rockstar San Diego,T
Street Fighter IV,PC,,Fighting,Capcom,0.07,0.05,0.0,0.02,0.13,91.0,23.0,8,352.0,Capcom,T
Farming Simulator 2011,PC,2010.0,Simulation,,0.0,0.13,0.0,0.0,0.13,,,7,23.0,Giants Software,E
Nintendo Puzzle Collection,GC,,Puzzle,,0.0,0.0,0.13,0.0,0.13,,,,,,
Charm Girls Club: My Fashion Mall,DS,,Simulation,,0.12,0.0,0.0,0.01,0.12,,,tbd,,Electronic Arts,E
